doctor_id,doctor_name,specialty,branch
D0040,Dr. John Ibrahim,Cardiology,Abuja North
D0041,Dr. Ada Onyeka,Cardiology,Port Harcourt Main
D0042,Dr. Victor Sani,pediatrics,LAGOS CENTRAL
D0043,Dr. Chinedu Abubakar,Neurology,Ibadan West
D0044,Dr. Kemi Afolabi,General Medicine,Ibadan West
D0045,Dr. John Chukwu,Dermatology,Enugu East
D0046,Dr. Samuel Okafor,orthopedics,Ibadan West
D0047,Dr. Hannah Eze,Orthopedics,
D0048,Dr. Victor Onyeka,general medicine,Lagos Central
D0049,Dr. John Balogun,Pediatrics,
D0050,Dr. Tolu Johnson,pediatrics,PORT HARCOURT MAIN
D0051,Dr. David Okafor,Dermatology,Lagos Central
D0052,Dr. Sarah Abubakar,Cardiology,Enugu East
D0053,Dr. Blessing Garba,orthopedics,Ibadan West
D0054,Dr. Hannah Garba,,
D0055,Dr. Daniel Ogunleye,,Port Harcourt Main
D0056,Dr. Samuel Ibrahim,general medicine,Ibadan West
D0057,Dr. Musa Musa,Pediatrics,PORT HARCOURT MAIN
D0058,Dr. Grace Ojo,Radiology,PORT HARCOURT MAIN
D0059,Dr. Ngozi Johnson,Emergency Medicine,Port Harcourt Main
D0060,Dr. Sarah Onyeka,Dermatology,PORT HARCOURT MAIN
D0061,Dr. Ibrahim Eze,cardiology,
D0062,Dr. Daniel Usman,,
D0063,Dr. Ada Bello,general medicine,
D0064,Dr. Mary Abubakar,,Abuja North
D0065,Dr. Sarah Usman,general medicine,Kano Care
D0066,Dr. Samuel Garba,Dermatology,
D0067,Dr. Mercy Ibrahim,Family Medicine,PORT HARCOURT MAIN
D0068,Dr. Tolu Balogun,Dermatology,Enugu East
D0069,Dr. Ada Adewale,Orthopedics,
D0070,Dr. Samuel Balogun,Family Medicine,Lagos Central
D0071,Dr. Fatima Ibrahim,dermatology,
D0072,Dr. Hannah Onyeka,cardiology,
D0073,Dr. Bola Ogunleye,general medicine,PORT HARCOURT MAIN
D0074,Dr. Musa Bello,,Port Harcourt Main
D0075,Dr. Abdul Johnson,general medicine,Kano Care
D0076,Dr. Daniel Chukwu,,Kano Care
D0077,Dr. Kemi Uche,cardiology,Kano Care
D0078,Dr. Peter Musa,,ABUJA NORTH
D0079,Dr. David Balogun,Obstetrics,ABUJA NORTH
D0080,Dr. Victor Ojo,General Medicine,ABUJA NORTH
D0081,Dr. Mary Balogun,cardiology,
D0082,Dr. Blessing Adeyemi,dermatology,ABUJA NORTH
D0083,Dr. Peter Nwosu,Dermatology,LAGOS CENTRAL
D0084,Dr. Zainab Johnson,general medicine,LAGOS CENTRAL
D0085,Dr. Abdul Ojo,general medicine,Enugu East
D0086,Dr. Sarah Abubakar,General Medicine,Port Harcourt Main
D0087,Dr. Michael Chukwu,Emergency Medicine,
D0088,Dr. Ada Adewale,Dermatology,Port Harcourt Main
D0089,Dr. Hannah Johnson,,LAGOS CENTRAL
D0090,Dr. Kemi Ogunleye,Family Medicine,Enugu East
D0091,Dr. Tunde Ogunleye,,
D0092,Dr. Yusuf Okafor,Family Medicine,Enugu East
D0093,Dr. Ibrahim Adeyemi,Family Medicine,Enugu East
D0094,Dr. Kemi Sani,cardiology,LAGOS CENTRAL
D0095,Dr. Mercy Eze,dermatology,PORT HARCOURT MAIN
D0096,Dr. Abdul Ogunleye,,LAGOS CENTRAL
D0097,Dr. Zainab Garba,cardiology,Lagos Central
D0098,Dr. Blessing Uche,,LAGOS CENTRAL
D0099,Dr. Michael Okafor,Pediatrics,ABUJA NORTH
D0100,Dr. Aisha Onyeka,,PORT HARCOURT MAIN
D0101,Dr. Ibrahim Eze,orthopedics,
D0102,Dr. Fatima Abubakar,pediatrics,Lagos Central
D0103,Dr. Michael Sani,Obstetrics,Abuja North
D0104,Dr. Abdul Usman,,PORT HARCOURT MAIN
D0105,Dr. Tolu Onyeka,General Medicine,Abuja North
D0106,Dr. Mary Onyeka,Radiology,
D0107,Dr. Aisha Bello,Radiology,Port Harcourt Main
D0108,Dr. Mary Eze,Cardiology,Lagos Central
D0109,Dr. Victor Ogunleye,Obstetrics,Ibadan West
D0110,Dr. Sarah Usman,Cardiology,Port Harcourt Main
D0111,Dr. Hannah Adewale,Obstetrics,PORT HARCOURT MAIN
D0112,Dr. Tolu Chukwu,Pediatrics,PORT HARCOURT MAIN
D0113,Dr. Tolu Sani,Family Medicine,Kano Care
D0114,Dr. Daniel Garba,dermatology,ABUJA NORTH
D0115,Dr. Zainab Afolabi,Emergency Medicine,Port Harcourt Main
D0116,Dr. Ada Adewale,Family Medicine,PORT HARCOURT MAIN
D0117,Dr. Bola Bello,Neurology,LAGOS CENTRAL
D0118,Dr. Zainab Balogun,Orthopedics,LAGOS CENTRAL
D0119,Dr. Blessing Nwosu,Emergency Medicine,ABUJA NORTH
D0120,Dr. Esther Adeyemi,Neurology,ABUJA NORTH
D0121,Dr. Victor Usman,orthopedics,
D0122,Dr. Mercy Ibrahim,,ABUJA NORTH
D0123,Dr. Yusuf Balogun,Neurology,Kano Care
D0124,Dr. Emeka Garba,Pediatrics,Kano Care
D0125,Dr. Hannah Nwosu,Radiology,
D0126,Dr. Victor Ibrahim,general medicine,Enugu East
D0127,Dr. Mercy Usman,Orthopedics,Ibadan West
D0128,Dr. Victor Nwosu,Orthopedics,
D0129,Dr. Emeka Uche,pediatrics,Kano Care
D0130,Dr. Michael Uche,dermatology,
D0131,Dr. Mercy Garba,Dermatology,
D0132,Dr. Tolu Eze,Orthopedics,Ibadan West
D0133,Dr. Abdul Johnson,,Port Harcourt Main
D0134,Dr. Grace Okafor,Radiology,Ibadan West
D0135,Dr. Amaka Adeyemi,Cardiology,LAGOS CENTRAL
D0136,Dr. Abdul Bello,dermatology,ABUJA NORTH
D0137,Dr. Hannah Balogun,,Enugu East
D0138,Dr. Amaka Garba,Emergency Medicine,Enugu East
D0139,Dr. Ibrahim Uche,general medicine,
D0140,Dr. Michael Chukwu,cardiology,ABUJA NORTH
D0141,Dr. Musa Afolabi,General Medicine,Lagos Central
D0142,Dr. Peter Onyeka,Orthopedics,LAGOS CENTRAL
D0143,Dr. Esther Ojo,Emergency Medicine,
D0144,Dr. Samuel Sani,dermatology,Ibadan West
D0145,Dr. Grace Chukwu,dermatology,Abuja North
D0146,Dr. Samuel Usman,Emergency Medicine,Kano Care
D0147,Dr. Grace Okafor,Orthopedics,Abuja North
D0148,Dr. Abdul Garba,Emergency Medicine,ABUJA NORTH
D0149,Dr. Bola Musa,Orthopedics,Lagos Central
D0150,Dr. Fatima Ibrahim,Pediatrics,
D0151,Dr. Musa Onyeka,General Medicine,Enugu East
D0152,Dr. Zainab Onyeka,Obstetrics,Ibadan West
D0153,Dr. Ibrahim Adeyemi,Pediatrics,
D0154,Dr. Samuel Ogunleye,Neurology,
D0155,Dr. Musa Ojo,dermatology,Ibadan West
D0156,Dr. Grace Ojo,Cardiology,Kano Care
D0157,Dr. David Ogunleye,Dermatology,Lagos Central
D0158,Dr. Emeka Okafor,,
D0159,Dr. Aisha Ojo,cardiology,Port Harcourt Main
D0160,Dr. David Sani,Emergency Medicine,Enugu East
D0161,Dr. Daniel Balogun,dermatology,Enugu East
D0162,Dr. Victor Sani,Orthopedics,ABUJA NORTH
D0163,Dr. John Eze,dermatology,Abuja North
D0164,Dr. Tunde Balogun,,Ibadan West
D0165,Dr. Mary Balogun,General Medicine,
D0166,Dr. Amaka Ojo,cardiology,Abuja North
D0167,Dr. Fatima Okafor,General Medicine,
D0168,Dr. Michael Johnson,Orthopedics,Abuja North
D0169,Dr. Emeka Adeyemi,Family Medicine,Enugu East
D0170,Dr. Mercy Ogunleye,Dermatology,Kano Care
D0171,Dr. Daniel Abubakar,Orthopedics,Lagos Central
D0172,Dr. Blessing Abubakar,Orthopedics,ABUJA NORTH
D0173,Dr. Blessing Abubakar,Neurology,LAGOS CENTRAL
D0174,Dr. Zainab Usman,Cardiology,Port Harcourt Main
D0175,Dr. Fatima Ogunleye,dermatology,Enugu East
D0176,Dr. Ibrahim Garba,Orthopedics,Kano Care
D0177,Dr. Daniel Ibrahim,Orthopedics,LAGOS CENTRAL
D0178,Dr. Daniel Johnson,Obstetrics,LAGOS CENTRAL
D0179,Dr. Esther Ojo,Orthopedics,ABUJA NORTH
D0180,Dr. Ada Ibrahim,General Medicine,Enugu East
D0181,Dr. Peter Usman,Cardiology,LAGOS CENTRAL
D0182,Dr. Sarah Adewale,Pediatrics,Abuja North
D0183,Dr. Grace Bello,Pediatrics,LAGOS CENTRAL
D0184,Dr. Daniel Sani,Neurology,Ibadan West
D0185,Dr. Kemi Ogunleye,Obstetrics,Ibadan West
D0186,Dr. John Onyeka,Family Medicine,
D0187,Dr. Bola Ibrahim,dermatology,Enugu East
D0188,Dr. Amaka Okafor,Family Medicine,Ibadan West
D0189,Dr. David Musa,Obstetrics,Lagos Central
D0190,Dr. David Nwosu,Emergency Medicine,LAGOS CENTRAL
D0191,Dr. Ada Garba,general medicine,Abuja North
D0192,Dr. Sarah Adewale,Cardiology,Kano Care
D0193,Dr. Aisha Bello,Family Medicine,PORT HARCOURT MAIN
D0194,Dr. Musa Okafor,Dermatology,Lagos Central
D0195,Dr. Victor Abubakar,pediatrics,Enugu East
D0196,Dr. Ada Abubakar,dermatology,Ibadan West
,Dr. Michael Abubakar,,Enugu East
D0198,Dr. Bola Balogun,Cardiology,Lagos Central
D0199,Dr. Sarah Adeyemi,Dermatology,LAGOS CENTRAL
D0200,Dr. Michael Nwosu,orthopedics,Lagos Central
D0201,Dr. Esther Johnson,orthopedics,Lagos Central
D0202,Dr. Yusuf Nwosu,Dermatology,Port Harcourt Main
D0203,Dr. Ibrahim Sani,Obstetrics,Ibadan West
D0204,Dr. Hannah Uche,Pediatrics,ABUJA NORTH
D0205,Dr. Esther Adeyemi,,Abuja North
D0206,Dr. Daniel Afolabi,cardiology,Lagos Central
D0207,Dr. Kemi Sani,Obstetrics,
D0208,Dr. Fatima Adewale,Pediatrics,Lagos Central
D0209,Dr. Abdul Onyeka,Pediatrics,LAGOS CENTRAL
D0210,Dr. Victor Adeyemi,Pediatrics,ABUJA NORTH
D0211,Dr. Sarah Ogunleye,pediatrics,Kano Care
D0212,Dr. Esther Ojo,Emergency Medicine,Kano Care
D0213,Dr. Mary Afolabi,Family Medicine,Enugu East
D0214,Dr. Yusuf Johnson,general medicine,
D0215,Dr. Chinedu Onyeka,,LAGOS CENTRAL
,Dr. Ngozi Onyeka,Emergency Medicine,LAGOS CENTRAL
D0217,Dr. Grace Adewale,general medicine,LAGOS CENTRAL
D0218,Dr. David Eze,Neurology,LAGOS CENTRAL
D0219,Dr. John Johnson,pediatrics,Abuja North
D0220,Dr. Tunde Adeyemi,General Medicine,Abuja North
D0221,Dr. John Sani,Obstetrics,LAGOS CENTRAL
D0222,Dr. Yusuf Adewale,Pediatrics,
,Dr. Samuel Uche,Pediatrics,
D0224,Dr. Daniel Okafor,Radiology,Port Harcourt Main
D0225,Dr. Amaka Afolabi,,Lagos Central
D0226,Dr. Kemi Garba,,ABUJA NORTH
D0227,Dr. Mercy Okafor,orthopedics,Port Harcourt Main
D0228,Dr. Bola Afolabi,Dermatology,Abuja North
D0229,Dr. Sarah Ibrahim,pediatrics,Kano Care
D0230,Dr. Zainab Adewale,orthopedics,Ibadan West
D0231,Dr. Esther Ibrahim,cardiology,LAGOS CENTRAL
D0232,Dr. Bola Uche,Neurology,Port Harcourt Main
D0233,Dr. Mary Onyeka,Dermatology,Ibadan West
D0234,Dr. Kemi Afolabi,orthopedics,Kano Care
D0235,Dr. Ada Garba,Neurology,Enugu East
D0236,Dr. Mary Okafor,Dermatology,LAGOS CENTRAL
D0237,Dr. Daniel Nwosu,,LAGOS CENTRAL
D0238,Dr. Esther Ojo,Dermatology,PORT HARCOURT MAIN
D0239,Dr. David Musa,,Kano Care
D0240,Dr. Musa Chukwu,Family Medicine,ABUJA NORTH
D0241,Dr. Daniel Sani,general medicine,
D0242,Dr. Tolu Balogun,Obstetrics,Enugu East
D0243,Dr. Emeka Sani,,Abuja North
D0244,Dr. Grace Onyeka,Cardiology,Abuja North
D0245,Dr. Victor Ogunleye,pediatrics,Kano Care
D0246,Dr. Zainab Uche,pediatrics,ABUJA NORTH
D0247,Dr. Tunde Uche,dermatology,
D0248,Dr. Sarah Ogunleye,Obstetrics,
D0249,Dr. Mary Ogunleye,Obstetrics,PORT HARCOURT MAIN
D0250,Dr. Amaka Adeyemi,general medicine,
D0251,Dr. Emeka Garba,,Enugu East
D0252,Dr. Fatima Abubakar,general medicine,Port Harcourt Main
D0253,Dr. Zainab Eze,Emergency Medicine,PORT HARCOURT MAIN
D0254,Dr. Amaka Nwosu,Dermatology,Abuja North
D0255,Dr. Grace Adeyemi,Radiology,Kano Care
D0256,Dr. Ada Onyeka,Obstetrics,
D0257,Dr. Grace Johnson,Obstetrics,Abuja North
D0258,Dr. Daniel Chukwu,general medicine,Lagos Central
D0259,Dr. Mercy Abubakar,Emergency Medicine,
D0260,Dr. Ada Chukwu,Cardiology,Enugu East
D0261,Dr. Ibrahim Ojo,,ABUJA NORTH
D0262,Dr. Michael Uche,Family Medicine,Ibadan West
D0263,Dr. Aisha Johnson,Radiology,Kano Care
D0264,Dr. Esther Ibrahim,Obstetrics,PORT HARCOURT MAIN
D0265,Dr. Hannah Bello,general medicine,ABUJA NORTH
D0266,Dr. Kemi Okafor,Orthopedics,ABUJA NORTH
D0267,Dr. Grace Okafor,,Lagos Central
D0268,Dr. Ada Ogunleye,cardiology,ABUJA NORTH
D0269,Dr. Esther Onyeka,Neurology,
D0270,Dr. Samuel Ogunleye,Dermatology,LAGOS CENTRAL
D0271,Dr. Tolu Afolabi,orthopedics,Lagos Central
D0272,Dr. Mercy Garba,general medicine,Lagos Central
D0273,Dr. Emeka Uche,Obstetrics,
D0274,Dr. Esther Nwosu,Dermatology,Lagos Central
D0275,Dr. Mercy Bello,Orthopedics,ABUJA NORTH
D0276,Dr. Michael Uche,Radiology,Enugu East
D0277,Dr. Samuel Uche,General Medicine,Abuja North
D0278,Dr. Ngozi Garba,,PORT HARCOURT MAIN
D0279,Dr. Peter Sani,Dermatology,Ibadan West
D0280,Dr. David Uche,orthopedics,Enugu East
D0281,Dr. Chinedu Garba,,
D0282,Dr. Aisha Musa,,Lagos Central
D0283,Dr. Ngozi Ogunleye,cardiology,LAGOS CENTRAL
D0284,Dr. Mary Bello,dermatology,Kano Care
D0285,Dr. Yusuf Eze,Family Medicine,Enugu East
D0286,Dr. Hannah Ibrahim,Neurology,Lagos Central
D0287,Dr. Hannah Eze,Obstetrics,Enugu East
D0288,Dr. Bola Nwosu,Neurology,Port Harcourt Main
D0289,Dr. Abdul Abubakar,General Medicine,ABUJA NORTH
D0290,Dr. Yusuf Bello,Obstetrics,
D0291,Dr. Blessing Abubakar,pediatrics,Lagos Central
D0292,Dr. Hannah Sani,Emergency Medicine,ABUJA NORTH
D0293,Dr. Abdul Okafor,Cardiology,LAGOS CENTRAL
D0294,Dr. Mary Abubakar,,Abuja North
D0295,Dr. Mary Chukwu,cardiology,Abuja North
D0296,Dr. Emeka Ogunleye,Pediatrics,Kano Care
D0297,Dr. Esther Bello,General Medicine,Port Harcourt Main
D0298,Dr. Grace Balogun,,Enugu East
D0299,Dr. Emeka Bello,Cardiology,
D0300,Dr. Ibrahim Usman,Pediatrics,PORT HARCOURT MAIN
D0301,Dr. Ada Ibrahim,Radiology,Ibadan West
D0302,Dr. Abdul Ogunleye,cardiology,Lagos Central
D0303,Dr. David Garba,Pediatrics,Enugu East
D0304,Dr. Peter Usman,general medicine,PORT HARCOURT MAIN
D0305,Dr. Tunde Chukwu,Dermatology,
D0306,Dr. Kemi Ojo,Cardiology,Enugu East
D0307,Dr. Grace Balogun,Neurology,Abuja North
D0308,Dr. Yusuf Uche,Dermatology,
D0309,Dr. Blessing Eze,Emergency Medicine,PORT HARCOURT MAIN
D0310,Dr. Tunde Balogun,General Medicine,Abuja North
D0311,Dr. Chinedu Garba,pediatrics,
D0312,Dr. Sarah Ogunleye,Family Medicine,Port Harcourt Main
D0313,Dr. Zainab Ibrahim,Dermatology,Port Harcourt Main
D0314,Dr. Yusuf Adewale,Family Medicine,Lagos Central
D0315,Dr. David Okafor,,
D0316,Dr. Blessing Balogun,,PORT HARCOURT MAIN
D0317,Dr. Musa Afolabi,Family Medicine,PORT HARCOURT MAIN
D0318,Dr. Aisha Adeyemi,Neurology,
D0319,Dr. Tunde Abubakar,orthopedics,
D0320,Dr. Ibrahim Sani,dermatology,Kano Care
D0321,Dr. Samuel Uche,general medicine,Ibadan West
D0322,Dr. Mercy Johnson,General Medicine,Abuja North
D0323,Dr. Tunde Ogunleye,general medicine,Port Harcourt Main
D0324,Dr. Chinedu Musa,Neurology,Ibadan West
D0325,Dr. Blessing Eze,General Medicine,Port Harcourt Main
D0326,Dr. David Nwosu,pediatrics,ABUJA NORTH
D0327,Dr. Yusuf Bello,Neurology,Lagos Central
D0328,Dr. David Ibrahim,Emergency Medicine,Port Harcourt Main
D0329,Dr. Fatima Adeyemi,Cardiology,ABUJA NORTH
D0330,Dr. Amaka Afolabi,Orthopedics,
D0331,Dr. Hannah Ogunleye,,
D0332,Dr. Bola Usman,,Kano Care
D0333,Dr. Mary Adeyemi,,ABUJA NORTH
D0334,Dr. Ngozi Johnson,orthopedics,
D0335,Dr. Ibrahim Eze,Cardiology,Lagos Central
D0336,Dr. Fatima Ogunleye,cardiology,Abuja North
D0337,Dr. John Sani,,Port Harcourt Main
D0338,Dr. Blessing Chukwu,Orthopedics,Enugu East
D0339,Dr. Samuel Eze,Family Medicine,Abuja North
D0340,Dr. Zainab Adeyemi,Radiology,
D0341,Dr. Grace Ojo,dermatology,Ibadan West
D0342,Dr. Sarah Adeyemi,Neurology,Ibadan West
D0343,Dr. Tolu Musa,Neurology,PORT HARCOURT MAIN
D0344,Dr. Sarah Ogunleye,Radiology,
D0345,Dr. Esther Eze,orthopedics,PORT HARCOURT MAIN
D0346,Dr. Esther Usman,,Lagos Central
D0347,Dr. Samuel Eze,Obstetrics,Enugu East
D0348,Dr. Peter Chukwu,Obstetrics,Abuja North
D0349,Dr. Musa Sani,Obstetrics,Abuja North
D0350,Dr. Yusuf Bello,Neurology,
D0351,Dr. Aisha Ogunleye,Family Medicine,ABUJA NORTH
D0352,Dr. Ada Okafor,,
D0353,Dr. John Ojo,General Medicine,PORT HARCOURT MAIN
D0354,Dr. Tolu Balogun,pediatrics,Ibadan West
D0355,Dr. Mercy Onyeka,,LAGOS CENTRAL
D0356,Dr. Bola Usman,Pediatrics,Ibadan West
D0357,Dr. Tolu Adewale,cardiology,Abuja North
D0358,Dr. Victor Nwosu,cardiology,Kano Care
D0359,Dr. Ada Eze,cardiology,
D0360,Dr. Ibrahim Ibrahim,Radiology,Lagos Central
D0361,Dr. Ada Ibrahim,cardiology,Kano Care
D0362,Dr. Tunde Uche,cardiology,Abuja North
D0363,Dr. Hannah Musa,dermatology,ABUJA NORTH
D0364,Dr. Blessing Ibrahim,Obstetrics,LAGOS CENTRAL
D0365,Dr. Fatima Afolabi,General Medicine,Enugu East
D0366,Dr. Ada Adewale,,Ibadan West
D0367,Dr. Amaka Johnson,Emergency Medicine,Port Harcourt Main
D0368,Dr. Zainab Ojo,orthopedics,Lagos Central
D0369,Dr. Bola Ogunleye,Neurology,Ibadan West
D0370,Dr. Esther Adeyemi,,Abuja North
D0371,Dr. Daniel Bello,,
D0372,Dr. Esther Uche,cardiology,Kano Care
D0373,Dr. Abdul Chukwu,general medicine,Port Harcourt Main
D0374,Dr. Yusuf Musa,Neurology,ABUJA NORTH
D0375,Dr. Ada Ibrahim,dermatology,Ibadan West
D0376,Dr. Michael Ojo,Radiology,Abuja North
D0377,Dr. Aisha Balogun,Radiology,Ibadan West
D0378,Dr. Tunde Adewale,,LAGOS CENTRAL
D0379,Dr. Grace Abubakar,dermatology,Enugu East
D0380,Dr. Mercy Uche,General Medicine,Lagos Central
D0381,Dr. Fatima Adeyemi,General Medicine,Ibadan West
D0382,Dr. Bola Usman,cardiology,Abuja North
D0383,Dr. Abdul Okafor,Orthopedics,Abuja North
D0384,Dr. Musa Johnson,Emergency Medicine,Lagos Central
D0385,Dr. Tolu Bello,Orthopedics,PORT HARCOURT MAIN
D0386,Dr. Samuel Usman,,PORT HARCOURT MAIN
D0387,Dr. Daniel Ogunleye,Pediatrics,Kano Care
D0388,Dr. Sarah Sani,General Medicine,Ibadan West
D0389,Dr. Abdul Johnson,Emergency Medicine,Ibadan West
D0390,Dr. Esther Balogun,Emergency Medicine,Ibadan West
D0391,Dr. Ada Ogunleye,Orthopedics,Abuja North
D0392,Dr. Mary Usman,Cardiology,Lagos Central
,Dr. Blessing Afolabi,General Medicine,
D0394,Dr. Blessing Musa,Obstetrics,Enugu East
D0395,Dr. Kemi Ibrahim,orthopedics,
D0396,Dr. Blessing Johnson,,Port Harcourt Main
D0397,Dr. Abdul Johnson,cardiology,LAGOS CENTRAL
D0398,Dr. Michael Chukwu,Pediatrics,ABUJA NORTH
D0399,Dr. Emeka Bello,,PORT HARCOURT MAIN
D0400,Dr. Peter Chukwu,,ABUJA NORTH
D0401,Dr. Hannah Onyeka,Radiology,PORT HARCOURT MAIN
D0402,Dr. Amaka Chukwu,Orthopedics,Ibadan West
D0403,Dr. Victor Adeyemi,Obstetrics,
D0404,Dr. Daniel Eze,,ABUJA NORTH
D0405,Dr. Fatima Okafor,Dermatology,
D0406,Dr. Samuel Ibrahim,,LAGOS CENTRAL
D0407,Dr. Hannah Garba,Pediatrics,
D0408,Dr. Ada Chukwu,Obstetrics,Kano Care
D0409,Dr. Tunde Adeyemi,General Medicine,ABUJA NORTH
D0410,Dr. Sarah Afolabi,Cardiology,Ibadan West
D0411,Dr. Esther Musa,,Enugu East
D0412,Dr. Musa Ibrahim,Dermatology,PORT HARCOURT MAIN
D0413,Dr. Esther Ibrahim,pediatrics,Port Harcourt Main
D0414,Dr. Mary Onyeka,Family Medicine,
D0415,Dr. Chinedu Abubakar,orthopedics,Abuja North
D0416,Dr. Abdul Uche,General Medicine,LAGOS CENTRAL
D0417,Dr. Fatima Garba,dermatology,ABUJA NORTH
D0418,Dr. John Johnson,orthopedics,
D0419,Dr. Aisha Onyeka,Emergency Medicine,Port Harcourt Main
D0420,Dr. Mary Onyeka,cardiology,Enugu East
D0421,Dr. Michael Abubakar,Emergency Medicine,Kano Care
D0422,Dr. Hannah Okafor,,
D0423,Dr. Abdul Usman,,PORT HARCOURT MAIN
D0424,Dr. Tolu Uche,Neurology,
D0425,Dr. Bola Johnson,Dermatology,Lagos Central
D0426,Dr. Ada Okafor,Orthopedics,
D0427,Dr. Abdul Adewale,General Medicine,
D0428,Dr. Blessing Ojo,Pediatrics,Abuja North
D0429,Dr. Mercy Eze,Dermatology,ABUJA NORTH
D0430,Dr. Kemi Ojo,General Medicine,Kano Care
D0431,Dr. Tunde Adewale,Family Medicine,PORT HARCOURT MAIN
D0432,Dr. Zainab Usman,,LAGOS CENTRAL
D0433,Dr. Samuel Nwosu,dermatology,Port Harcourt Main
D0434,Dr. Michael Balogun,,Lagos Central
D0435,Dr. Bola Nwosu,dermatology,ABUJA NORTH
D0436,Dr. Aisha Musa,Dermatology,PORT HARCOURT MAIN
D0437,Dr. Daniel Chukwu,Obstetrics,Ibadan West
D0438,Dr. Grace Ibrahim,Cardiology,Kano Care
D0439,Dr. Abdul Balogun,General Medicine,ABUJA NORTH
D0440,Dr. Fatima Johnson,pediatrics,
D0441,Dr. Zainab Garba,,
D0442,Dr. Peter Nwosu,Cardiology,Ibadan West
D0443,Dr. Esther Okafor,Obstetrics,PORT HARCOURT MAIN
D0444,Dr. Tunde Chukwu,,
D0445,Dr. Sarah Johnson,Neurology,Kano Care
D0446,Dr. Daniel Adewale,,Abuja North
D0447,Dr. Tunde Ogunleye,,LAGOS CENTRAL
D0448,Dr. Michael Balogun,Obstetrics,Abuja North
D0449,Dr. Yusuf Nwosu,pediatrics,Enugu East
D0450,Dr. Tunde Garba,Neurology,ABUJA NORTH
D0451,Dr. Kemi Sani,,Lagos Central
D0452,Dr. John Abubakar,orthopedics,Kano Care
D0453,Dr. Chinedu Johnson,pediatrics,
D0454,Dr. Amaka Balogun,general medicine,Ibadan West
D0455,Dr. Emeka Johnson,Orthopedics,Ibadan West
D0456,Dr. Tunde Bello,Emergency Medicine,Abuja North
D0457,Dr. Esther Bello,General Medicine,
D0458,Dr. David Adewale,,Abuja North
D0459,Dr. Fatima Afolabi,Radiology,Lagos Central
D0460,Dr. Mercy Okafor,Orthopedics,Port Harcourt Main
D0461,Dr. Aisha Balogun,dermatology,ABUJA NORTH
D0462,Dr. Esther Abubakar,cardiology,Ibadan West
D0463,Dr. Tolu Nwosu,general medicine,LAGOS CENTRAL
D0464,Dr. Tunde Musa,Dermatology,
D0465,Dr. Ibrahim Sani,Family Medicine,Kano Care
D0466,Dr. Ada Johnson,Pediatrics,PORT HARCOURT MAIN
D0467,Dr. Samuel Ibrahim,orthopedics,Enugu East
D0468,Dr. Tolu Johnson,Orthopedics,
D0469,Dr. Victor Onyeka,Dermatology,Kano Care
D0470,Dr. Ngozi Sani,Family Medicine,Lagos Central
D0471,Dr. Grace Ogunleye,cardiology,PORT HARCOURT MAIN
D0472,Dr. Kemi Uche,cardiology,PORT HARCOURT MAIN
D0473,Dr. Mary Ogunleye,general medicine,
